Record,Avg,CSN_0,CSN_1,CNS_2,ARP,DHCP,DNS,HTML,ICMP,TCP,UDP,Label
560,0.0689,6,2,2,1,0,0,0,2,6,0,good
561,0.0436,8,2,1,1,0,0,0,0,13,0,good
562,0.299,3,2,2,0,0,0,0,0,8,0,good
563,0.8262,1,0,0,0,0,0,0,0,0,0,good
564,0.0048,88,48,1,0,0,0,0,0,50,0,good
565,1.0521,1,0,0,0,0,0,0,0,1,0,good
566,0.0466,12,5,4,0,0,0,0,0,14,0,good
567,0.6203,2,1,0,0,0,0,0,0,1,0,good
568,0.0136,11,9,8,0,0,8,0,0,19,0,good
569,0.0424,7,5,0,0,0,0,0,0,6,0,good
570,0.5165,1,0,0,0,0,0,0,0,1,0,good
571,0.0044,31,30,28,0,0,8,0,0,72,0,good
572,0.003,118,73,1,0,0,1,0,0,168,0,good
573,9.00E-04,327,169,38,0,0,17,0,0,489,0,good
574,0.0068,22,20,13,0,0,6,0,0,49,0,good
575,0.0041,49,21,13,0,0,30,0,0,66,0,good
576,0.0019,136,16,13,0,0,30,0,0,148,0,good
577,0.0092,31,7,7,0,0,2,0,0,42,0,good
578,0.0586,7,1,1,0,0,0,0,0,3,0,good
579,0.0139,20,16,0,0,0,0,0,0,25,0,good
580,0.077,6,2,2,0,0,0,0,0,6,0,good
581,0.0954,7,1,1,0,0,0,0,0,5,0,good
582,0.0322,18,8,4,0,0,0,0,0,27,0,good
583,0.0212,13,3,2,0,0,0,0,0,23,0,good
584,0.0565,4,2,1,0,0,0,0,0,7,0,good
585,0.7678,2,1,1,0,0,0,0,0,5,0,good
586,0.0923,4,3,2,0,0,0,0,0,7,0,good
587,0.5003,2,1,1,0,0,0,0,0,2,0,good
588,0.3337,2,1,0,0,0,0,0,0,1,0,good
589,0.3336,2,1,0,0,0,0,0,0,1,0,good
590,0.1288,1,1,1,2,0,0,0,0,2,0,good
591,0.1217,4,2,1,0,0,0,2,0,4,0,good
592,0.2321,2,2,0,0,0,0,0,0,1,0,good
593,0.4954,2,2,0,0,0,0,0,0,1,0,good
594,0.965,2,2,0,0,0,0,0,0,1,0,good
595,0.0089,73,45,1,0,0,0,0,0,47,0,good
596,0.0032,96,58,1,0,0,0,0,0,59,0,good
597,1.1431,6,4,1,0,0,0,0,0,7,0,good
598,0.3445,1,1,1,0,0,0,0,0,3,0,good
599,1.6674,1,1,1,1,0,0,0,0,2,0,good
600,1.1661,1,1,0,1,0,0,0,0,1,0,good
601,0.8363,3,2,1,0,0,0,0,0,5,0,good
602,0.143,4,2,1,0,0,0,0,0,3,0,good
603,2.0023,1,1,1,0,0,0,0,0,1,0,good
604,0.2331,1,1,1,0,0,0,0,0,1,0,good
605,0.1285,3,2,1,0,0,0,0,0,3,0,good
606,0.133,2,1,1,0,0,0,0,0,2,0,good
607,0.0271,19,6,6,0,0,0,0,0,21,0,good
608,0.0482,29,6,5,0,0,0,1,0,30,0,good
609,0.0225,13,6,3,0,0,0,1,0,17,0,good
610,0.0629,2,2,1,0,0,0,0,0,7,0,good
611,0.3631,1,1,0,0,0,0,0,0,2,0,good
612,0.4722,1,1,0,0,0,0,0,0,2,0,good
613,0.0639,6,5,1,0,0,0,0,0,12,0,good
614,0.0501,7,6,3,0,0,0,0,0,20,0,good
615,0.2834,1,1,1,0,0,0,0,0,2,0,good
616,0.6674,2,1,0,0,0,0,0,0,1,0,good
617,0.0835,6,6,0,0,0,0,0,0,7,0,good
618,0.0589,6,6,2,2,0,0,0,0,10,0,good
619,0.0396,7,6,1,0,0,0,0,0,11,0,good
620,0.0793,3,2,1,0,0,0,0,0,5,0,good
621,0.0667,9,3,1,0,0,0,0,0,15,0,good
622,0.4376,8,4,2,0,0,0,0,0,16,0,good
623,0.3334,2,1,1,0,0,0,0,1,3,0,good
624,0.0025,70,69,27,0,0,19,0,11,173,0,good
625,0.0021,197,117,65,0,0,1,0,15,434,0,good
626,0.0016,126,86,41,0,0,24,0,42,254,0,good
627,0.0139,22,5,4,0,0,8,0,10,20,0,good
628,0.0544,6,2,2,0,0,0,0,4,8,0,good
629,0.0021,144,29,27,0,0,54,0,43,152,0,good
630,0.0112,25,7,4,0,0,9,0,3,23,0,good
631,0.0012,242,47,19,0,0,96,0,76,255,0,good
632,0.0022,117,12,11,0,0,21,0,69,137,0,good
633,0.0021,136,19,9,0,0,44,0,49,146,0,good
634,0.003,80,44,9,0,0,87,0,9,63,0,good
635,0.0297,9,5,4,0,0,13,0,0,8,0,good
636,0.0155,16,6,6,0,0,0,1,0,33,0,good
637,1.331,1,0,0,0,0,0,0,0,1,0,good
638,0.0466,9,1,1,0,0,0,0,0,11,0,good
639,0.0176,12,4,3,0,0,0,0,0,29,0,good
640,0.0117,24,4,3,1,0,0,0,0,42,0,good
641,0.0249,11,4,3,1,0,0,0,0,24,0,good
642,0.0115,36,16,2,1,0,0,0,0,79,0,good
643,0.0588,9,3,2,0,0,0,0,0,16,0,good
644,0.0484,7,1,1,1,0,0,0,0,10,0,good
645,0.1296,2,2,2,0,0,0,0,0,7,0,good
646,0.0338,4,2,2,0,0,0,0,0,15,0,good
647,0.0746,3,2,1,0,0,0,0,0,7,0,good
648,0.0419,4,2,2,0,0,0,0,0,12,0,good
649,0.3436,2,1,1,1,0,0,0,0,3,0,good
650,0.1289,3,2,1,1,0,0,0,1,6,0,good
651,0.6972,1,1,1,0,0,0,0,1,2,0,good
